fare,passengers,percentSurvived
0.0,17,11.76
3.17,1,100.0
4.01,1,0.0
5.0,1,0.0
6.24,1,0.0
6.44,3,0.0
6.45,1,0.0
6.5,3,0.0
6.75,2,0.0
6.86,1,0.0
6.95,2,50.0
6.98,2,50.0
7.0,2,50.0
7.05,12,8.33
7.12,4,0.0
7.14,1,100.0
7.22,21,23.81
7.23,24,29.17
7.25,18,5.56
7.28,1,0.0
7.31,1,0.0
7.5,3,33.33
7.52,1,0.0
7.55,8,25.0
7.58,2,50.0
7.63,2,0.0
7.65,6,50.0
7.72,3,66.67
7.73,8,37.5
7.74,3,33.33
7.75,55,30.91
7.78,27,29.63
7.79,1,100.0
7.8,11,45.45
7.82,1,100.0
7.83,3,33.33
7.85,22,18.18
7.88,11,36.36
7.89,2,50.0
7.9,49,2.04
7.92,23,39.13
8.03,1,100.0
8.05,60,15.0
8.11,2,50.0
8.14,1,0.0
8.16,1,0.0
8.3,1,0.0
8.36,1,0.0
8.4,1,0.0
8.43,1,0.0
8.46,1,0.0
8.52,2,100.0
8.65,1,0.0
8.66,21,4.76
8.68,1,100.0
8.71,2,0.0
8.85,1,0.0
8.96,1,100.0
9.0,2,0.0
9.22,4,25.0
9.32,1,0.0
9.35,3,66.67
9.48,2,0.0
9.5,12,25.0
9.59,2,50.0
9.69,1,0.0
9.82,2,0.0
9.84,2,50.0
9.85,1,0.0
10.17,1,0.0
10.46,2,0.0
10.5,35,34.29
10.52,1,0.0
10.71,1,0.0
11.13,3,100.0
11.24,2,100.0
11.5,6,0.0
12.0,1,100.0
12.18,2,0.0
12.28,1,0.0
12.29,2,100.0
12.35,5,40.0
12.48,4,100.0
12.52,1,0.0
12.65,1,100.0
12.74,1,100.0
12.88,2,0.0
13.0,59,28.81
13.42,2,100.0
13.5,7,28.57
13.78,3,0.0
13.79,1,100.0
13.86,5,100.0
13.9,2,50.0
14.0,1,0.0
14.11,2,50.0
14.4,3,0.0
14.45,10,10.0
14.46,4,0.0
14.5,11,18.18
15.0,1,0.0
15.03,1,0.0
15.05,4,0.0
15.1,2,0.0
15.25,9,66.67
15.5,10,40.0
15.55,2,0.0
15.58,1,0.0
15.74,3,100.0
15.75,2,100.0
15.85,4,50.0
15.9,3,100.0
16.0,2,50.0
16.1,12,25.0
16.7,3,100.0
17.4,2,100.0
17.8,2,0.0
18.0,4,0.0
18.75,3,100.0
18.79,2,50.0
19.26,4,100.0
19.5,2,100.0
19.97,2,0.0
20.21,3,0.0
20.25,3,33.33
20.52,3,66.67
20.58,4,75.0
21.0,14,35.71
21.08,5,0.0
21.68,3,0.0
22.02,3,100.0
22.36,3,100.0
22.52,3,0.0
23.0,7,100.0
23.25,3,100.0
23.45,4,0.0
24.0,2,50.0
24.15,9,11.11
25.47,5,0.0
25.59,1,0.0
25.7,1,100.0
25.74,1,100.0
25.92,1,0.0
25.93,2,100.0
26.0,50,38.0
26.25,6,66.67
26.28,1,100.0
26.29,3,100.0
26.39,1,100.0
26.55,22,45.45
27.0,2,50.0
27.45,1,100.0
27.72,11,54.55
27.75,5,60.0
27.9,6,0.0
28.5,2,50.0
28.54,1,100.0
28.71,1,0.0
29.0,3,100.0
29.12,6,0.0
29.7,5,40.0
30.0,7,85.71
30.07,2,50.0
30.5,6,66.67
30.7,2,0.0
31.0,3,66.67
31.28,7,0.0
31.39,7,42.86
31.5,3,0.0
31.68,2,50.0
32.32,1,0.0
32.5,3,66.67
33.0,3,66.67
33.5,1,0.0
34.02,1,0.0
34.38,5,0.0
34.65,1,0.0
35.0,1,0.0
35.5,4,75.0
36.75,4,75.0
37.0,3,66.67
38.5,1,0.0
39.0,7,85.71
39.4,2,100.0
39.6,3,66.67
39.69,7,0.0
40.12,1,0.0
41.58,4,75.0
42.4,2,0.0
42.5,1,0.0
45.5,1,0.0
46.9,8,0.0
47.1,2,0.0
49.5,3,66.67
50.0,2,0.0
50.5,2,0.0
51.48,2,100.0
51.86,4,25.0
52.0,8,50.0
52.55,4,100.0
53.1,6,66.67
55.0,2,100.0
55.44,4,100.0
55.9,2,50.0
56.5,8,75.0
56.93,2,100.0
57.0,2,100.0
57.75,2,100.0
57.98,2,100.0
59.4,4,75.0
60.0,2,50.0
61.18,2,50.0
61.38,2,50.0
61.98,2,50.0
63.36,2,100.0
65.0,5,60.0
66.6,2,50.0
69.3,2,100.0
69.55,11,0.0
71.0,2,50.0
71.28,2,50.0
73.5,7,0.0
75.24,2,0.0
75.25,2,50.0
76.29,2,100.0
76.73,3,100.0
77.29,2,0.0
77.96,3,100.0
78.27,2,100.0
78.85,3,66.67
79.2,6,50.0
79.65,3,66.67
80.0,2,100.0
81.86,3,100.0
82.17,2,50.0
82.27,2,100.0
83.16,6,83.33
83.48,2,50.0
86.5,3,100.0
89.1,2,100.0
90.0,5,80.0
91.08,2,100.0
93.5,4,50.0
106.42,3,66.67
108.9,3,66.67
110.88,4,75.0
113.28,3,66.67
120.0,4,100.0
133.65,2,100.0
134.5,5,100.0
135.63,4,75.0
136.78,2,50.0
146.52,3,66.67
151.55,6,50.0
153.46,3,66.67
164.87,4,75.0
211.34,4,100.0
211.5,5,40.0
221.78,4,25.0
227.52,5,60.0
247.52,3,66.67
262.38,7,85.71
263.0,6,66.67
512.33,4,100.0
